Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,1.0,5.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
cross-doc,Faithfulness,1.0,5.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
cross-doc,Multi-hop reasoning,1.0,5.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
cross-doc,Latency (s),5.201,6.031,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,849.5,957.5,Flat RAG thường rẻ/nhanh hơn.
factoid,Comprehensiveness,5.0,1.0,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
factoid,Faithfulness,5.0,1.0,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
factoid,Multi-hop reasoning,5.0,1.0,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
factoid,Latency (s),0.982,1.002,Flat RAG thường rẻ/nhanh hơn.
factoid,Token usage,770.0,656.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Latency (s),0.719,0.816,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,751.5,744.0,GraphRAG không đắt hơn trong sample này.
